po_id,supplier_id,product_id,order_date,expected_delivery,quantity,unit_cost,total_value,status,priority
PO-2025-001,SUP-003,PRD-110,2025-03-01,2025-03-22,150,320.00,48000.00,Delivered Late,High
PO-2025-002,SUP-003,PRD-111,2025-03-05,2025-03-26,50,890.00,44500.00,Delivered Late,High
PO-2025-003,SUP-001,PRD-101,2025-03-10,2025-03-24,100,1250.00,125000.00,Delivered,Normal
PO-2025-004,SUP-007,PRD-205,2025-03-12,2025-03-30,200,78.00,15600.00,Delivered Late,Normal
PO-2025-005,SUP-003,PRD-110,2025-03-20,2025-04-10,200,320.00,64000.00,Delivered Late,High
PO-2025-006,SUP-006,PRD-401,2025-03-25,2025-04-04,2000,12.50,25000.00,Delivered,Normal
PO-2025-007,SUP-003,PRD-111,2025-04-01,2025-04-22,75,890.00,66750.00,In Transit,Critical
PO-2025-008,SUP-005,PRD-301,2025-04-05,2025-05-10,2000,55.00,110000.00,In Transit,Normal
PO-2025-009,SUP-007,PRD-206,2025-04-10,2025-04-28,60,215.00,12900.00,Delivered,Normal
PO-2025-010,SUP-003,PRD-110,2025-04-15,2025-05-06,100,320.00,32000.00,In Transit,High
PO-2025-011,SUP-008,PRD-501,2025-04-18,2025-04-30,5000,18.00,90000.00,Delivered,Normal
PO-2025-012,SUP-009,PRD-102,2025-04-20,2025-05-05,500,45.00,22500.00,In Transit,Normal
PO-2025-013,SUP-003,PRD-110,2025-04-25,2025-05-16,120,320.00,38400.00,Ordered,High
PO-2025-014,SUP-004,PRD-302,2025-04-28,2025-05-26,1000,32.00,32000.00,Ordered,Normal
PO-2025-015,SUP-010,PRD-205,2025-05-01,2025-05-21,200,78.00,15600.00,Ordered,Normal
