id,category/id,category/name,name,photoURL,tags/0/id,tags/0/name,status
1,1,Dog,Afador,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/afador.jpg?raw=true,1,doggie,available
2,1,Dog,American Bulldog,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/american-bulldog.jpg?raw=true,1,doggie,available
3,1,Dog,Australian Retriever,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/australian-retriever.jpg?raw=true,1,doggie,available
4,1,Dog,Australian Shepherd,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/australian-shepherd.jpg?raw=true,1,doggie,available
5,1,Dog,Basset Hound,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/basset-hound.jpg?raw=true,1,doggie,available
6,1,Dog,Beagle,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/beagle.jpg?raw=true,1,doggie,available
7,1,Dog,Border Terrier,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/border-terrier.jpg?raw=true,1,doggie,available
8,1,Dog,Boston Terrier,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/boston-terrier.jpg?raw=true,1,doggie,available
9,1,Dog,Bulldog,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/bulldog.jpg?raw=true,1,doggie,available
10,1,Dog,Bullmastiff,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/bullmastiff.jpg?raw=true,1,doggie,available
11,1,Dog,Chihuahua,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/chihuahua.jpg?raw=true,1,doggie,available
12,1,Dog,Cocker Spaniel,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/cocker-spaniel.jpg?raw=true,1,doggie,available
13,1,Dog,German Sheperd,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/german-shepherd.jpg?raw=true,1,doggie,available
14,1,Dog,Labrador Retriever,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/labrador-retriever.jpg?raw=true,1,doggie,available
15,1,Dog,Pomeranian,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/pomeranian.jpg?raw=true,1,doggie,available
16,1,Dog,Pug,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/pug.jpg?raw=true,1,doggie,available
17,1,Dog,Rottweiler,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/rottweiler.jpg?raw=true,1,doggie,available
18,1,Dog,Shetland Sheepdog,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/shetland-sheepdog.jpg?raw=true,1,doggie,available
19,1,Dog,Shih Tzu,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/shih-tzu.jpg?raw=true,1,doggie,available
20,1,Dog,Toy Fox Terrier,https://raw.githubusercontent.com/chtrembl/staticcontent/master/dog-breeds/toy-fox-terrier.jpg?raw=true,1,doggie,available
21,1,Cat,Abyssinian,https://raw.githubusercontent.com/chtrembl/staticcontent/master/cat-breeds/abyssinian.jpg?raw=true,1,kittie,available
22,1,Cat,American Bobtail,https://raw.githubusercontent.com/chtrembl/staticcontent/master/cat-breeds/american-bobtail.jpg?raw=true,1,kittie,available
23,1,Cat,American Shorthair,https://raw.githubusercontent.com/chtrembl/staticcontent/master/cat-breeds/american-shorthair.jpg?raw=true,1,kittie,available
24,1,Cat,Balinese,https://raw.githubusercontent.com/chtrembl/staticcontent/master/cat-breeds/balinese.jpg?raw=true,1,kittie,available
25,1,Cat,Birman,https://raw.githubusercontent.com/chtrembl/staticcontent/master/cat-breeds/birman.jpg?raw=true,1,kittie,available
26,1,Cat,Bombay,https://raw.githubusercontent.com/chtrembl/staticcontent/master/cat-breeds/bombay.jpg?raw=true,1,kittie,available
27,1,Cat,British Shorthair,https://raw.githubusercontent.com/chtrembl/staticcontent/master/cat-breeds/british-shorthair.jpg?raw=true,1,kittie,available
28,1,Cat,Burmilla,https://raw.githubusercontent.com/chtrembl/staticcontent/master/cat-breeds/burmilla.jpg?raw=true,1,kittie,available
29,1,Cat,Chartreux,https://raw.githubusercontent.com/chtrembl/staticcontent/master/cat-breeds/chartreux.jpg?raw=true,1,kittie,available
30,1,Cat,Cornish Rex,https://raw.githubusercontent.com/chtrembl/staticcontent/master/cat-breeds/cornish-rex.jpg?raw=true,1,kittie,available
31,1,Fish,Goldfish,https://raw.githubusercontent.com/chtrembl/staticcontent/master/fish-breeds/goldfish.jpg?raw=true,1,fishy,available
